,ID,DDE,Apli_Event,Index,Sow_Area,ModNamProd,Fert_Quant,Unit,Other_uni,Equiv_uni,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,Fert,Fert_type,Fert_type2,Qtity_L_ha,Qtity_Kl_ha,Location_1,Location_2,Variety,,,
2450,RS3032,54,4,1,4,Nitrosmart,1.5,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,1.5,1,1,1,,,
56,DS4010,50,5,1,32,Krista KP,2,1,NA,NA,43,13.5,0.6,13,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2,1,5,1,,,
112,DS4020,85,6,1,1.5,Krista KP,2,1,NA,NA,43,13.5,0.6,13,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2,1,7,1,,,
1484,LG8033,15,1,1,2,CreciGreen,2,1,NA,NA,3,40,0.5,0,39.5,3,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,2,1,12,14,,,
1542,LG8042,45,3,1,1,Cloruro de Potasio,2,1,NA,NA,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2,1,14,14,,,
1986,NR10002,45,3,1,4,MF Crecer 500,2,1,NA,NA,3,42,0.4,0,41.6,3,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,2,1,14,10,,,
2131,NR10024,24,3,2,1.2,Urea,2,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2,1,14,3,,,
2210,NR10035,12,1,2,1.5,Urea,2,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2,1,14,5,,,
2445,RS3032,27,2,1,4,Nitrosmart,2,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2,1,1,1,,,
2689,RS3055,30,2,2,6,K-Mag,2,1,NA,NA,24,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,2,1,10,1,,,
2723,RS3057,80,7,1,5,MF Crecer 500,2,1,NA,NA,3,42,0.4,0,41.6,3,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,2,1,15,12,,,
331,DS4045,65,4,3,7.5,Sulfato de amonio 21-0-0-24,0.05,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2.5,1,2,1,,,
2426,RS3030,25,2,4,28,Patentkali,2.5,1,NA,NA,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,2.5,1,2,1,,,
209,DS4031,15,1,1,4,MicroEssentials SZ,3,1,NA,NA,0,12,12,0,0,40,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,3,1,7,15,,,
1460,LG8030,18,2,2,3.5,Nitro Xtend XP 46N,3,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,3,1,12,19,,,
2425,RS3030,25,2,3,28,ProZinc,3,1,NA,NA,0,0,0,0,0,5,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,3,1,2,1,,,
763,ES1043,70,4,1,6,Urea,4,1,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,4,1,10,8,,,
2225,NR10037,30,2,1,1.5,Triple 18,4,1,NA,NA,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,4,1,14,12,,,
203,DS4030,20,1,1,4,Triple 18,5,1,NA,NA,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,5,1,5,4,,,
1433,LG8026,12,1,2,6,Sulfato de amonio 21-0-0-24,5,1,NA,NA,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,5,1,13,20,,,
1436,LG8026,27,2,2,6,Sulfato de amonio 21-0-0-24,5,1,NA,NA,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,5,1,13,20,,,
2129,NR10024,16,2,1,1.2,Triple 18,5,1,NA,NA,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,5,1,14,3,,,
2428,RS3030,40,3,2,28,Patentkali,5,1,NA,NA,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,5,1,2,1,,,
1176,GV5008,30,3,2,7.5,Krista KP,8,1,NA,NA,43,13.5,0.6,13,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,8,1,5,1,,,
1432,LG8026,12,1,1,6,Triple 18,8,1,NA,NA,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,8,1,13,20,,,
