,ID,DDE,Apli_Event,Index,Sow_Area,ModNamProd,Fert_Quant,Unit,Other_uni,Equiv_uni,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,Fert,Fert_type,Fert_type2,Qtity_L_ha,Qtity_Kl_ha,Location_1,Location_2,Variety,,,
692,ES1034,80,4,1,5,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
701,ES1036,24,2,2,6,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
721,ES1037,48,4,1,23,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,4,,,
813,ES1050,55,4,1,40,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,2,8,,,
851,ES1054,60,4,1,5,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,2,8,,,
852,ES1054,60,4,2,5,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,2,8,,,
885,ES1057,65,5,1,20,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,2,1,,,
891,ES1058,60,3,2,7,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,3,1,,,
935,ES1062,30,3,1,7,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,15,3,,,
986,ES1068,30,1,1,30,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,6,5,,,
1021,ES1072,10,1,1,9,DAP 18-46-0,1.5,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1022,ES1072,10,1,2,9,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1026,ES1072,32,3,1,9,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1029,ES1072,47,4,1,9,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1030,ES1073,10,1,1,10,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1032,ES1073,10,1,3,10,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1036,ES1073,30,3,1,10,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1039,ES1073,45,4,1,10,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,8,,,
1053,ES1074,61,4,1,14,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1055,ES1074,76,5,1,14,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1064,ES1075,42,4,1,14.6,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,7,,,
1072,ES1076,15,1,2,18,Potazinc,1.5,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1074,ES1076,28,2,1,18,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1075,ES1076,28,2,2,18,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1078,ES1076,38,3,2,18,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1081,ES1076,45,4,2,18,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1089,ES1077,32,3,1,13,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1095,ES1077,63,5,1,13,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1098,ES1077,7,1,1,13,DAP 18-46-0,1.5,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
1106,ES1078,30,3,1,5,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,6,,,
1115,ES1078,7,1,1,5,DAP 18-46-0,1.5,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,6,,,
1119,ES1080,18,2,1,8,DAP 18-46-0,1.5,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,6,,,
1131,ES1080,7,1,1,8,DAP 18-46-0,1.5,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,6,,,
1135,ES1080,7,1,5,8,Fertilizante menores,1.5,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,6,,,
1335,LG8010,20,2,2,1.25,Nutri Inicio,3,5,NA,25,12,10,10,0,0,30,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,14,,,
1356,LG8013,50,3,2,2,YaraVera AMIDAS,1.5,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,1,,,
1408,LG8023,15,1,1,3,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,14,,,
1412,LG8023,35,2,1,3,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,14,,,
1595,LG8049,20,1,2,1.7,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
1598,LG8049,35,2,2,1.7,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
1600,LG8049,50,3,2,1.7,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
1613,LG8051,30,2,1,11,Nitro Xtend XP 46N,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,1,,,
1621,LG8051,60,4,1,11,YaraVera AMIDAS,1.5,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,1,,,
1664,LG8060,50,3,1,6,Nitro Xtend XP 46N,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,7,,,
1665,LG8060,50,3,2,6,FertiCROP Arroz Desarrollo,1.5,5,NA,50,17,29,29,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,7,,,
1691,MR9004,15,1,1,5,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,12,7,,,
1701,MR9004,60,4,1,5,Patentkali,1.5,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,12,7,,,
1702,MR9004,60,4,2,5,Nitro Xtend XP 46N,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,12,7,,,
1760,MR9013,70,3,1,12,Nitro Xtend XP 46N,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,14,,,
1864,MR9031,30,2,1,0.4,Ecofertil Fase 3,1.5,5,NA,50,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,7,,,
1866,MR9031,45,3,1,0.4,Ecofertil Fase 3,1.5,5,NA,50,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,7,,,
1913,MR9037,60,4,1,1.5,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
1924,MR9039,NA,3,1,2,Nitro Xtend XP 46N,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
1925,MR9039,NA,3,2,2,YaraBela Nitromag,1.5,5,NA,50,0,21,10.3,10.7,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
1926,MR9039,NA,4,1,2,Nitro Xtend XP 46N,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
1927,MR9039,NA,4,2,2,Potazinc,1.5,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,14,14,,,
2014,NR10006,32,2,2,3.5,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,14,,,
2055,NR10013,42,3,2,31,Ecofertil Fase 3,1.5,5,NA,50,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,10,,,
2059,NR10015,25,1,1,0.75,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,7,,,
2115,NR10021,30,1,2,0.5,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,2,,,
2117,NR10021,45,2,1,0.5,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,2,,,
2118,NR10021,45,2,2,0.5,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,2,,,
2119,NR10021,60,3,1,0.5,YaraVera AMIDAS,1.5,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,2,,,
2120,NR10021,60,3,2,0.5,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,2,,,
2178,NR10031,45,3,1,5.85,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,10,,,
2184,NR10032,19,2,1,61,Nitrosoil Ferti-Siembra,1.5,5,NA,50,6,13,5.2,0,7.8,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,1,,,
2189,NR10032,30,3,3,61,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,1,,,
2193,NR10032,9,1,1,61,Nitrosoil Ferti-Siembra,1.5,5,NA,50,6,13,5.2,0,7.8,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,13,1,,,
2258,RS3004,12,1,2,1,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,5,15,,,
2260,RS3004,38,2,1,1,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,5,15,,,
2295,RS3010,25,2,1,4,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,5,1,,,
2296,RS3010,25,2,2,4,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,5,1,,,
2312,RS3015,20,2,2,2,Cal Dolomita,75,1,NA,NA,0,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,5,4,,,
2388,RS3026,60,4,1,20,Nitro Xtend XP 46N,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,11,1,,,
2392,RS3027,25,2,1,3,DAP 18-46-0,1.5,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,11,1,,,
2393,RS3027,25,2,2,3,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,11,1,,,
2410,RS3029,19,2,1,8,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,11,7,,,
2414,RS3029,35,3,1,8,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,11,7,,,
2435,RS3031,40,3,1,16,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
2439,RS3031,55,4,1,16,Urea,75,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,9,1,,,
2543,RS3042,30,2,3,5,Patentkali,1.5,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2549,RS3042,65,4,2,5,Patentkali,1.5,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2552,RS3043,25,1,1,2.5,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2553,RS3043,25,1,2,2.5,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2555,RS3043,37,2,1,2.5,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2560,RS3043,49,3,3,2.5,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2561,RS3043,61,4,1,2.5,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2564,RS3043,73,5,1,2.5,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2565,RS3043,73,5,2,2.5,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2566,RS3043,73,5,3,2.5,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2576,RS3044,55,4,1,18,Urea,75,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2579,RS3044,70,5,1,18,Urea,75,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2582,RS3045,12,1,2,4,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2583,RS3045,26,2,1,4,Triple 18,1.5,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2585,RS3045,26,2,3,4,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
2593,RS3046,35,1,2,1.5,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,10,,,
2595,RS3046,35,1,4,1.5,Sulfato de amonio 21-0-0-24,1.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,10,,,
2600,RS3046,65,3,1,1.5,Urea,1.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,10,,,
2777,RS3063,45,3,3,4,Cloruro de Potasio,1.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,75,1,10,1,,,
799,ES1048,40,3,2,2,Ecofertil Fase 3,2,5,NA,40,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,80,1,10,13,,,
972,ES1066,35,2,1,1.5,Ecofertil Fase 3,2,5,NA,40,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,80,1,6,1,,,
982,ES1067,45,3,2,13,BALANCE MIX ACTIVE III (24-0-17-5-6),2,5,NA,40,17,24,4.8,0,19.2,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,80,1,6,2,,,
1001,ES1070,15,1,2,4,Fertilizante menores,2,5,NA,40,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,80,1,6,1,,,
1061,ES1075,30,3,1,14.6,Nutrifert,2,5,NA,40,5.04,8.94,4.07,4.88,0,6.5,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,80,1,9,7,,,
2570,RS3044,32,2,1,18,Urea,80,1,NA,NA,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,80,1,10,1,,,
2048,NR10013,12,1,1,31,Triple 18,1.7,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,85,1,13,10,,,
2051,NR10013,27,2,1,31,Triple 18,1.7,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,85,1,13,10,,,
1676,LG8061,50,3,1,80,Triple 18,1.875,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,93.75,1,12,7,,,
9,DS4003,37,2,1,0.75,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
12,DS4003,54,4,1,0.75,YaraVera AMIDAS,2,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
14,DS4003,62,5,1,0.75,Nitrabor,2,5,NA,50,0,15.4,1.3,14.1,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
20,DS4004,32,3,1,1.15,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,12,,,
21,DS4004,32,3,2,1.15,Cloruro de Potasio,2,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,12,,,
23,DS4005,15,1,1,18,Nitro Xtend XP 46N,2,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,5,,,
30,DS4005,60,4,1,18,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,5,,,
31,DS4005,60,4,2,18,Cloruro de Potasio,2,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,5,,,
40,DS4009,45,3,1,4.5,Cloruro de Potasio,2,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
41,DS4009,45,3,2,4.5,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
42,DS4009,45,3,3,4.5,Cloruro de Potasio,2,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
47,DS4009,65,4,1,4.5,Fertilizante menores,2,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
48,DS4009,65,4,2,4.5,Cloruro de Potasio,2,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
50,DS4009,80,5,1,4.5,Fertilizante menores,2,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,1,,,
79,DS4016,20,1,1,1,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,5,,,
80,DS4016,50,2,1,1,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,5,,,
81,DS4016,60,3,1,1,YaraVera AMIDAS,2,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,5,,,
82,DS4016,80,4,1,1,YaraVera AMIDAS,2,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,5,,,
83,DS4017,20,1,1,5,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
84,DS4017,20,1,2,5,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
85,DS4017,20,1,3,5,Patentkali,2,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
86,DS4017,35,2,1,5,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
87,DS4017,35,2,2,5,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
88,DS4017,50,3,1,5,Cloruro de Potasio,2,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
89,DS4017,50,3,2,5,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
91,DS4017,65,4,1,5,Fertilizante menores,2,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
92,DS4017,65,4,3,5,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
93,DS4017,80,5,1,5,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
94,DS4017,80,5,2,5,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
97,DS4018,60,3,1,2.25,BALANCE MIX ACTIVE III (24-0-17-5-6),2,5,NA,50,17,24,4.8,0,19.2,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,12,,,
98,DS4018,60,3,2,2.25,Urea,2,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,12,,,
99,DS4018,75,4,1,2.25,Produccion,2,5,NA,50,18,17,10.4,6.6,0,6,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,12,,,
100,DS4018,75,4,2,2.25,YaraVera AMIDAS,2,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,12,,,
101,DS4018,90,5,1,2.25,YaraVera AMIDAS,2,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,12,,,
111,DS4020,70,5,1,1.5,YaraVera AMIDAS,2,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,7,1,,,
124,DS4022,32,2,1,11,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
128,DS4022,54,4,1,11,Triple 18,2,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
129,DS4022,54,4,2,11,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,5,5,,,
135,DS4023,50,3,1,1.5,Urea,2,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,11,1,,,
136,DS4023,50,3,2,1.5,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,11,1,,,
137,DS4023,75,4,1,1.5,Urea,2,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,11,1,,,
138,DS4023,75,4,2,1.5,Sulfato de amonio 21-0-0-24,2,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,100,1,11,1,,,
