,ID,Fert_event,Triple 18,Urea,Sulfato de Amonio,Ecofertil fase 3,Cloruro de Potasio,YaraVera AMIDAS,NITRO XTENDÂ® 46 N,Patentkali,Fertilizantes menores,Nutrimon,DAP 18-46-0
237,ES1005,3,NA,50,NA,NA,NA,NA,NA,NA,50,NA,NA
238,ES1005,4,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ES1006,1,100,NA,NA,50,NA,50,50,NA,NA,NA,NA
240,ES1006,2,50,NA,NA,50,NA,50,NA,NA,NA,NA,NA
241,ES1007,1,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA
242,ES1007,2,150,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
243,ES1007,3,150,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
244,ES1007,4,100,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
245,ES1010,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,ES1010,2,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,ES1010,3,100,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
248,ES1011,1,200,NA,200,NA,NA,NA,NA,NA,NA,NA,NA
249,ES1011,2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,ES1011,3,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,ES1011,4,100,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
252,ES1012,1,200,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
253,ES1012,2,200,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
254,ES1012,3,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,ES1012,4,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA
256,ES1013,1,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
257,ES1013,2,50,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
258,ES1013,3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,ES1013,4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,ES1014,1,NA,50,100,NA,NA,NA,NA,NA,NA,NA,NA
261,ES1014,2,200,50,50,NA,NA,NA,NA,NA,NA,NA,NA
262,ES1014,3,NA,50,100,NA,NA,NA,NA,NA,NA,NA,NA
263,ES1014,4,50,NA,NA,NA,NA,250,NA,NA,NA,NA,NA
264,ES1015,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,ES1015,2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,ES1015,3,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,ES1015,4,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA
268,ES1016,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,ES1016,2,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
270,ES1016,3,50,NA,50,150,NA,NA,NA,NA,NA,NA,NA
271,ES1016,4,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA
272,ES1016,5,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA
273,ES1017,1,150,NA,50,NA,NA,NA,50,NA,NA,NA,NA
274,ES1017,2,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
275,ES1017,3,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,ES1017,4,150,NA,100,NA,NA,NA,100,NA,NA,NA,NA
277,ES1019,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,ES1019,2,100,NA,NA,50,NA,NA,NA,NA,NA,NA,NA
279,ES1019,3,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,ES1020,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,ES1020,2,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA
282,ES1020,3,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA
283,ES1020,4,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,ES1020,5,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA
285,ES1021,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,ES1021,2,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA
287,ES1021,3,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
288,ES1021,4,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
289,ES1021,5,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA
290,ES1022,1,50,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
291,ES1022,2,100,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
292,ES1022,3,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
293,ES1022,4,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
294,ES1023,1,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,ES1023,2,NA,200,200,NA,NA,NA,NA,NA,NA,NA,NA
296,ES1023,3,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA
297,ES1023,4,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA
298,ES1024,1,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
299,ES1024,2,150,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
300,ES1024,3,NA,50,100,NA,100,NA,NA,NA,NA,NA,NA
301,ES1024,4,NA,NA,NA,150,100,NA,NA,NA,NA,NA,NA
302,ES1025,1,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,ES1025,2,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA
304,ES1025,3,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA
305,ES1026,1,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,ES1026,2,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,ES1026,3,100,50,50,NA,NA,NA,NA,NA,NA,NA,NA
308,ES1026,4,NA,NA,NA,150,100,NA,NA,NA,NA,NA,NA
309,ES1027,1,100,50,50,NA,NA,NA,NA,NA,NA,NA,NA
310,ES1027,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,ES1027,3,NA,50,100,NA,NA,NA,NA,NA,NA,NA,NA
312,ES1027,4,NA,NA,150,NA,NA,50,NA,NA,NA,NA,NA
313,ES1028,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,ES1028,2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,ES1028,3,NA,NA,NA,150,50,NA,NA,NA,NA,NA,NA
316,ES1028,4,NA,NA,NA,150,50,NA,NA,NA,NA,NA,NA
317,ES1029,1,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,ES1029,2,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA
319,ES1029,3,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA
320,ES1029,4,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA
321,ES1030,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,ES1030,2,150,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
323,ES1030,3,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
324,ES1031,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,ES1031,2,100,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
