a10,g7_1,a12,insumo_num,Marca_1,Marca_2,Marca_3,Marca_4,Marca_5,Tipo_Fertilizacion_1,Tipo_Fertilizacion_2,Tipo_Fertilizacion_3,Tipo_Fertilizacion_4,Tipo_Fertilizacion_5,Tipo_Nivel_2_1,Tipo_Nivel_2_2,Tipo_Nivel_2_3,Tipo_Nivel_2_4,Tipo_Nivel_2_5,_merge,a11,a12a,a13,ax_2,f4_1,f5_1,g10_1,g10_2,g10_3,g10_4,g10_5,g12_1_1,g12_1_2,g12_1_3,g12_1_4,g12_1_5,g12_c_1,g12_c_2,g12_c_3,g12_c_4,g12_c_5,g12_u_1,g12_u_2,g12_u_3,g12_u_4,g12_u_5,g12_ua_1,g12_ua_2,g12_ua_3,g12_ua_4,g12_ua_5,g9_1,g9_2,g9_3,g9_4,g9_5,id_lote_g6,row,g10_c,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,cantidad_litros_ha,cantidad_kilos_ha,Tipo_Nivel_0,Tipo_Nivel_1
RS3047,6,AMBALEMA,5,HALCON COLOMBIA,,AMISTAR TOP,,COSMOAGRO,Fertilizacion foliar,,Agroquimico,,Agroquimico,Fertilizante quimico,,Agroquimico,,Agroquimico,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,formador 2000,terramin potacio,amistar,carbendazil,inex,,,,,,,,,,,Litros,Litros,Litros,Litros,Litros,,,,,no,1.0,2.0,3.0,4.0,5.0,3,6,Inex-A,0.0,0.0,0.0,0.0,0.0,0.0,,,Surfactante,Agroquimico
RS3048,1,AMBALEMA,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,triple 18,,,,,50.0,,,,,4.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,1,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,200.0,Fertilizante edafico,Fertilizante quimico
RS3048,2,AMBALEMA,1,NUTRIMON,,AGROSILICIUM,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,kcl,silofox,,,50.0,50.0,40.0,,,2.0,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,2,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3048,2,AMBALEMA,2,NUTRIMON,,AGROSILICIUM,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,kcl,silofox,,,50.0,50.0,40.0,,,2.0,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,2,KCl,,,,,,,,50.0,,
RS3048,2,AMBALEMA,3,NUTRIMON,,AGROSILICIUM,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,kcl,silofox,,,50.0,50.0,40.0,,,2.0,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,2,Siliphos Balance,0.0,0.0,0.0,0.0,0.0,12.0,,40.0,Fertilizante edafico,Fertilizante quimico
RS3048,3,AMBALEMA,1,NUTRIMON,,AGROSILICIUM,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,kcl,silofox,,,50.0,50.0,40.0,,,2.3,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,3,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,115.0,Fertilizante edafico,Fertilizante quimico
RS3048,3,AMBALEMA,2,NUTRIMON,,AGROSILICIUM,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,kcl,silofox,,,50.0,50.0,40.0,,,2.3,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,3,KCl,,,,,,,,50.0,,
RS3048,3,AMBALEMA,3,NUTRIMON,,AGROSILICIUM,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,kcl,silofox,,,50.0,50.0,40.0,,,2.3,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,3,Siliphos Balance,0.0,0.0,0.0,0.0,0.0,12.0,,40.0,Fertilizante edafico,Fertilizante quimico
RS3048,4,AMBALEMA,1,NUTRIMON,AGROSILICIUM,,,,Fertilizacion edafica,Fertilizacion edafica,,,,Fertilizante quimico,Fertilizante quimico,,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,silofox,,,,50.0,40.0,,,,2.0,1.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,4,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3048,4,AMBALEMA,2,NUTRIMON,AGROSILICIUM,,,,Fertilizacion edafica,Fertilizacion edafica,,,,Fertilizante quimico,Fertilizante quimico,,,,Matched (3),Tolima,,73030005,lote bolivia,Fedearroz 2020,8.0,urea,silofox,,,,50.0,40.0,,,,2.0,1.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,4,Siliphos Balance,0.0,0.0,0.0,0.0,0.0,12.0,,40.0,Fertilizante edafico,Fertilizante quimico
RS3049,1,AMBALEMA,1,NUTRIMON,NUTRIMON,,,,Fertilizacion edafica,Fertilizacion edafica,,,,Fertilizante quimico,Fertilizante quimico,,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,triple 18,urea,,,,50.0,50.0,,,,2.0,2.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,1,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3049,1,AMBALEMA,2,NUTRIMON,NUTRIMON,,,,Fertilizacion edafica,Fertilizacion edafica,,,,Fertilizante quimico,Fertilizante quimico,,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,triple 18,urea,,,,50.0,50.0,,,,2.0,2.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,1,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3049,2,AMBALEMA,1,NUTRIMON,NUTRIMON,,,,Fertilizacion edafica,Fertilizacion edafica,,,,Fertilizante quimico,Fertilizante quimico,,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,triple 18,urea,,,,50.0,50.0,,,,2.0,2.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,2,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3049,2,AMBALEMA,2,NUTRIMON,NUTRIMON,,,,Fertilizacion edafica,Fertilizacion edafica,,,,Fertilizante quimico,Fertilizante quimico,,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,triple 18,urea,,,,50.0,50.0,,,,2.0,2.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,2,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3049,3,AMBALEMA,1,NUTRIMON,,DISAN,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,ure,sam,patencali,,,50.0,50.0,50.0,,,2.0,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,3,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3049,3,AMBALEMA,2,NUTRIMON,,DISAN,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,ure,sam,patencali,,,50.0,50.0,50.0,,,2.0,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,3,Sulfato de amonio SAM,,,,,,,,50.0,,
RS3049,3,AMBALEMA,3,NUTRIMON,,DISAN,,,Fertilizacion edafica,,Fertilizacion edafica,,,Fertilizante quimico,,Fertilizante quimico,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,ure,sam,patencali,,,50.0,50.0,50.0,,,2.0,1.0,1.0,,,Bultos,Bultos,Bultos,,,,,,,,1.0,2.0,3.0,,,1,3,Patentkali,30.0,0.0,0.0,0.0,0.0,0.0,,50.0,Fertilizante edafico,Fertilizante quimico
RS3049,4,AMBALEMA,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73030002,el porvenir uno,Fedearroz Gualanday,11.0,urea,,,,,50.0,,,,,2.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,4,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3050,1,AMBALEMA,1,NUTRIMON,,,ARROCERO,,Fertilizacion edafica,,,Fertilizacion edafica,,Fertilizante quimico,,,Fertilizante quimico,,Matched (3),Tolima,,73030008,la fortuna 2,Fedearroz 2000,9.0,urea,kcl,sulfato,menores,,50.0,50.0,50.0,50.0,,2.0,1.0,1.0,1.0,,Bultos,Bultos,Bultos,Bultos,,,,,,,1.0,2.0,3.0,4.0,,2,1,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
RS3050,1,AMBALEMA,2,NUTRIMON,,,ARROCERO,,Fertilizacion edafica,,,Fertilizacion edafica,,Fertilizante quimico,,,Fertilizante quimico,,Matched (3),Tolima,,73030008,la fortuna 2,Fedearroz 2000,9.0,urea,kcl,sulfato,menores,,50.0,50.0,50.0,50.0,,2.0,1.0,1.0,1.0,,Bultos,Bultos,Bultos,Bultos,,,,,,,1.0,2.0,3.0,4.0,,2,1,KCl,,,,,,,,50.0,,
RS3050,1,AMBALEMA,3,NUTRIMON,,,ARROCERO,,Fertilizacion edafica,,,Fertilizacion edafica,,Fertilizante quimico,,,Fertilizante quimico,,Matched (3),Tolima,,73030008,la fortuna 2,Fedearroz 2000,9.0,urea,kcl,sulfato,menores,,50.0,50.0,50.0,50.0,,2.0,1.0,1.0,1.0,,Bultos,Bultos,Bultos,Bultos,,,,,,,1.0,2.0,3.0,4.0,,2,1,Sulfato de Amonio,,,,,,,,50.0,,
